study_id,citation_short,on_website,file
aa8995e72ac240a9d_s1,Colombo (2012),YES,Colombo_2012__aa8995e72ac240a9d_s1.md
ac7c0ebf911382402_s1,Colombo et al. (2014),YES,Colombo_et_al_2014__ac7c0ebf911382402_s1.md
ac7c0ebf911382402_s2,Colombo et al. (2014),YES,Colombo_et_al_2014__ac7c0ebf911382402_s2.md
a99e972647ad3bec8_s1,Connell et al. (2022),YES,Connell_et_al_2022__a99e972647ad3bec8_s1.md
ac41b67b58fda0894_s1,Connell et al. (2022),YES,Connell_et_al_2022__ac41b67b58fda0894_s1.md
ab3bd6a979910aae4_s1,Contreras-Huerta (2021),YES,Contreras_Huerta_2021__ab3bd6a979910aae4_s1.md
a33805f70dcd7a684_s1,Cook et al. (2018),YES,Cook_et_al_2018__a33805f70dcd7a684_s1.md
a941675f73ddb4a9d_s1,Cooper et al. (2012),YES,Cooper_et_al_2012__a941675f73ddb4a9d_s1.md
a6dd1e063ef951bf7_s1,Cooper et al. (2014),YES,Cooper_et_al_2014__a6dd1e063ef951bf7_s1.md
aa7a0276ada8cc7db_s1,Cui (2021),NO,Cui_2021__aa7a0276ada8cc7db_s1.md
aa7a0276ada8cc7db_s2,Cui (2021),NO,Cui_2021__aa7a0276ada8cc7db_s2.md
aa7a0276ada8cc7db_s3,Cui (2021),NO,Cui_2021__aa7a0276ada8cc7db_s3.md
ab55cdf703297acb8_s1,Cui (2021),NO,Cui_2021__ab55cdf703297acb8_s1.md
ab55cdf703297acb8_s2,Cui (2021),NO,Cui_2021__ab55cdf703297acb8_s2.md
ab55cdf703297acb8_s3,Cui (2021),NO,Cui_2021__ab55cdf703297acb8_s3.md
ac43c16de65d32bf5_s1,Davis (2025),YES,Davis_2025__ac43c16de65d32bf5_s1.md
ac43c16de65d32bf5_s2,Davis (2025),YES,Davis_2025__ac43c16de65d32bf5_s2.md
a0a10385d71888bda_s1,Decker et al. (2015),YES,Decker_et_al_2015__a0a10385d71888bda_s1.md
a49c01d79541cb445_s1,Deffner et al. (2020),YES,Deffner_et_al_2020__a49c01d79541cb445_s1.md
a2313f01554209ba3_s1,Deffner et al. (2024),YES,Deffner_et_al_2024__a2313f01554209ba3_s1.md
abb19da2267bf8662_s1,DeJoseph (2023),YES,DeJoseph_2023__abb19da2267bf8662_s1.md
a5f0d9e7021894afb_s1,DeJoseph et al. (2024),YES,DeJoseph_et_al_2024__a5f0d9e7021894afb_s1.md
a69f025cbcb4e3d3f_s1,Deng et al. (2023),YES,Deng_et_al_2023__a69f025cbcb4e3d3f_s1.md
a026a5057e5c402fa_s1,Devaine & Daunizeau (2017),YES,Devaine_Daunizeau_2017__a026a5057e5c402fa_s1.md
ae41a6609b6740e29_s1,Devaine et al. (2014),YES,Devaine_et_al_2014__ae41a6609b6740e29_s1.md
ad8c91c1b0277d469_s1,Diaconescu et al. (2014),YES,Diaconescu_et_al_2014__ad8c91c1b0277d469_s1.md
a1b6b5214ee0f278c_s1,Diaconescu et al. (2017),YES,Diaconescu_et_al_2017__a1b6b5214ee0f278c_s1.md
a7bae18ba1c06d93c_s1,Diaconescu et al. (2020),YES,Diaconescu_et_al_2020__a7bae18ba1c06d93c_s1.md
a0c0a3b5b57e95b71_s1,Driessen et al. (2025),YES,Driessen_et_al_2025__a0c0a3b5b57e95b71_s1.md
a3ef0606f3dae7a0f_s1,Dubey (2023),YES,Dubey_2023__a3ef0606f3dae7a0f_s1.md
a48cb3593974c3b46_s1,Duderstadt et al. (2022),YES,Duderstadt_et_al_2022__a48cb3593974c3b46_s1.md
ab445c71d4d07759b_s1,Dun et al. (2024),YES,Dun_et_al_2024__ab445c71d4d07759b_s1.md
aa71946e6c9f86d56_s1,Efferson et al. (2008),YES,Efferson_et_al_2008__aa71946e6c9f86d56_s1.md
adaf4feb200605004_s1,Eisenegger et al. (2013),YES,Eisenegger_et_al_2013__adaf4feb200605004_s1.md
a0d3faac61561129c_s1,Elder et al. (2023),YES,Elder_et_al_2023__a0d3faac61561129c_s1.md
aa65ca8c435e94942_s1,Ereira et al. (2018),YES,Ereira_et_al_2018__aa65ca8c435e94942_s1.md
a4b676be68b05d63f_s1,Ereira et al. (2020),YES,Ereira_et_al_2020__a4b676be68b05d63f_s1.md
ab1248f299f347c28_s1,Ereira et al. (2020),YES,Ereira_et_al_2020__ab1248f299f347c28_s1.md
acb8a9bf7cd2f5505_s1,Ezaki et al. (2016),YES,Ezaki_et_al_2016__acb8a9bf7cd2f5505_s1.md
a522a4a6c2827b1e8_s1,Falben et al. (2023),YES,Falben_et_al_2023__a522a4a6c2827b1e8_s1.md
a713034c4a22ef323_s1,Fareri et al. (2015),YES,Fareri_et_al_2015__a713034c4a22ef323_s1.md
ae331daacca1dedbe_s1,Farmer et al. (2019),YES,Farmer_et_al_2019__ae331daacca1dedbe_s1.md
a0f14a5ff011d1dc8_s1,Feng et al. (2020),YES,Feng_et_al_2020__a0f14a5ff011d1dc8_s1.md
a0f14a5ff011d1dc8_s2,Feng et al. (2020),YES,Feng_et_al_2020__a0f14a5ff011d1dc8_s2.md
a0f14a5ff011d1dc8_s3,Feng et al. (2020),YES,Feng_et_al_2020__a0f14a5ff011d1dc8_s3.md
a0b81277f606fe157_s1,Fineberg et al. (2018),YES,Fineberg_et_al_2018__a0b81277f606fe157_s1.md
ae1d06b9cc1a41631_s1,Flournoy (2018),YES,Flournoy_2018__ae1d06b9cc1a41631_s1.md
aa09d738ea4dd18f0_s1,Fornari et al. (2023),YES,Fornari_et_al_2023__aa09d738ea4dd18f0_s1.md
ae82dd63e6420f342_s1,Fornari et al. (2023),YES,Fornari_et_al_2023__ae82dd63e6420f342_s1.md
ac358235abc2dab17_s1,Frey & McCabe (2020),YES,Frey_McCabe_2020__ac358235abc2dab17_s1.md
ae9c01d676c5bd081_s1,Frey & McCabe (2020),YES,Frey_McCabe_2020__ae9c01d676c5bd081_s1.md
aec7a0ba248d26cad_s1,Frey (2019),YES,Frey_2019__aec7a0ba248d26cad_s1.md
aec7a0ba248d26cad_s2,Frey (2019),YES,Frey_2019__aec7a0ba248d26cad_s2.md
aec7a0ba248d26cad_s3,Frey (2019),YES,Frey_2019__aec7a0ba248d26cad_s3.md
a6a7eaf0b8cc43d62_s1,Frey et al. (2021),YES,Frey_et_al_2021__a6a7eaf0b8cc43d62_s1.md
abfd52709b54c4481_s1,Frolichs et al. (2022),YES,Frolichs_et_al_2022__abfd52709b54c4481_s1.md
abfd52709b54c4481_s2,Frolichs et al. (2022),YES,Frolichs_et_al_2022__abfd52709b54c4481_s2.md
abfd52709b54c4481_s3,Frolichs et al. (2022),YES,Frolichs_et_al_2022__abfd52709b54c4481_s3.md
aad2e89eeb949f588_s1,Gadeke et al. (2020),YES,Gadeke_et_al_2020__aad2e89eeb949f588_s1.md
aad2e89eeb949f588_s2,Gadeke et al. (2020),YES,Gadeke_et_al_2020__aad2e89eeb949f588_s2.md
a4436fb2259d8f3d0_s1,Gao et al. (2020),YES,Gao_et_al_2020__a4436fb2259d8f3d0_s1.md
afaa94a3f1a607157_s1,Gao et al. (2020),YES,Gao_et_al_2020__afaa94a3f1a607157_s1.md
aa56074d11a12abcd_s1,Gaule et al. (2024),YES,Gaule_et_al_2024__aa56074d11a12abcd_s1.md
ab13df8717184ccee_s1,Gelpi (2025),NO,Gelpi_2025__ab13df8717184ccee_s1.md
ab13df8717184ccee_s2,Gelpi (2025),NO,Gelpi_2025__ab13df8717184ccee_s2.md
a894d6f4ea6856b0c_s1,Gershman et al. (2017),YES,Gershman_et_al_2017__a894d6f4ea6856b0c_s1.md
ae6935dd1f3314d0b_s1,Gesiarz (2020),YES,Gesiarz_2020__ae6935dd1f3314d0b_s1.md
a019a3130cd2a8cbe_s1,Gregorova et al. (2024),YES,Gregorova_et_al_2024__a019a3130cd2a8cbe_s1.md
aeb52cfb7ce319e37_s1,Gu et al. (2015),YES,Gu_et_al_2015__aeb52cfb7ce319e37_s1.md
ad608a8ef93ad42b6_s1,Gueguen et al. (2025),YES,Gueguen_et_al_2025__ad608a8ef93ad42b6_s1.md
adace563f08274e40_s1,Gueguen et al. (2025),YES,Gueguen_et_al_2025__adace563f08274e40_s1.md
a0cbdcc9dfd3eb389_s1,Guennouni (2022),NO,Guennouni_2022__a0cbdcc9dfd3eb389_s1.md
a0cbdcc9dfd3eb389_s2,Guennouni (2022),NO,Guennouni_2022__a0cbdcc9dfd3eb389_s2.md
a0cbdcc9dfd3eb389_s3,Guennouni (2022),NO,Guennouni_2022__a0cbdcc9dfd3eb389_s3.md
a0cbdcc9dfd3eb389_s4,Guennouni (2022),NO,Guennouni_2022__a0cbdcc9dfd3eb389_s4.md
a0cbdcc9dfd3eb389_s5,Guennouni (2022),NO,Guennouni_2022__a0cbdcc9dfd3eb389_s5.md
a595d96a627a0d6c7_s1,Guigon (2022),YES,Guigon_2022__a595d96a627a0d6c7_s1.md
a5894b4a391e9517f_s1,Guilbeault et al. (2025),YES,Guilbeault_et_al_2025__a5894b4a391e9517f_s1.md
aa1cfaa7c0b32b5c0_s1,Guo et al. (2024),YES,Guo_et_al_2024__aa1cfaa7c0b32b5c0_s1.md
aa1cfaa7c0b32b5c0_s2,Guo et al. (2024),YES,Guo_et_al_2024__aa1cfaa7c0b32b5c0_s2.md
a8d99523e77ad1011_s1,Gweon et al. (2010),YES,Gweon_et_al_2010__a8d99523e77ad1011_s1.md
a661fc88f8387f952_s1,Haaker & Olsson (2018),YES,Haaker_Olsson_2018__a661fc88f8387f952_s1.md
a95f701fd9e24ed4f_s1,Hackel & Zaki (2018),YES,Hackel_Zaki_2018__a95f701fd9e24ed4f_s1.md
a95f701fd9e24ed4f_s2,Hackel & Zaki (2018),YES,Hackel_Zaki_2018__a95f701fd9e24ed4f_s2.md
a9b9f1c6d36ab97ce_s1,Hackel et al. (2019),YES,Hackel_et_al_2019__a9b9f1c6d36ab97ce_s1.md
a9a3417e0682c84d6_s1,Hackel et al. (2020),YES,Hackel_et_al_2020__a9a3417e0682c84d6_s1.md
ac2232886939a29e2_s1,Hackel et al. (2020),YES,Hackel_et_al_2020__ac2232886939a29e2_s1.md
ae6fbb37f4487ff87_s1,Hackel et al. (2022),YES,Hackel_et_al_2022__ae6fbb37f4487ff87_s1.md
a9b473d280d0123c3_s1,Ham & Jenkins (2025),YES,Ham_Jenkins_2025__a9b473d280d0123c3_s1.md
a9b473d280d0123c3_s2,Ham & Jenkins (2025),YES,Ham_Jenkins_2025__a9b473d280d0123c3_s2.md
a9b473d280d0123c3_s3,Ham & Jenkins (2025),YES,Ham_Jenkins_2025__a9b473d280d0123c3_s3.md
a0c30267245895723_s1,Ham et al. (2025),YES,Ham_et_al_2025__a0c30267245895723_s1.md
a3bfa9c0b2d56e036_s1,Hammond et al. (2023),YES,Hammond_et_al_2023__a3bfa9c0b2d56e036_s1.md
afdcf5615fc28780d_s1,Hampton et al. (2008),YES,Hampton_et_al_2008__afdcf5615fc28780d_s1.md
a02c7c89a2ee718ad_s1,Harada (2023),YES,Harada_2023__a02c7c89a2ee718ad_s1.md
a684568d126a9a533_s1,Hardy et al. (2022),YES,Hardy_et_al_2022__a684568d126a9a533_s1.md
a684568d126a9a533_s2,Hardy et al. (2022),YES,Hardy_et_al_2022__a684568d126a9a533_s2.md
a8e4cc32c4fb15890_s1,Haruno & Kawato (2009),YES,Haruno_Kawato_2009__a8e4cc32c4fb15890_s1.md
af2e673d18005bef0_s1,Hauke (2024),NO,Hauke_2024__af2e673d18005bef0_s1.md
a321d661f8f8442f8_s1,Hauke et al. (2024),YES,Hauke_et_al_2024__a321d661f8f8442f8_s1.md
a631236efa231f350_s1,Hawkins et al. (2023),YES,Hawkins_et_al_2023__a631236efa231f350_s1.md
ae1b28d9682e98d8a_s1,Hawkins et al. (2023),YES,Hawkins_et_al_2023__ae1b28d9682e98d8a_s1.md
a6f9cb6e230fc8bce_s1,Heffner et al. (2025),YES,Heffner_et_al_2025__a6f9cb6e230fc8bce_s1.md
a49219b09016ebf46_s1,Heijne et al. (2018),YES,Heijne_et_al_2018__a49219b09016ebf46_s1.md
af87f2f9e5c91cf2a_s1,Hein et al. (2018),YES,Hein_et_al_2018__af87f2f9e5c91cf2a_s1.md
a80de13010a4dd07a_s1,Henco et al. (2020),YES,Henco_et_al_2020__a80de13010a4dd07a_s1.md
a9159d74bfbe6e921_s1,Henco et al. (2020),YES,Henco_et_al_2020__a9159d74bfbe6e921_s1.md
a66f741ba53ddd6f0_s1,Hertz et al. (2017),YES,Hertz_et_al_2017__a66f741ba53ddd6f0_s1.md
a4af8527b1cc684fd_s1,Hertz et al. (2021),YES,Hertz_et_al_2021__a4af8527b1cc684fd_s1.md
a738ffd23b825d7eb_s1,Hill et al. (2017),YES,Hill_et_al_2017__a738ffd23b825d7eb_s1.md
a6ef8f19d4f08cf77_s1,Hillebrandt (2014),YES,Hillebrandt_2014__a6ef8f19d4f08cf77_s1.md
a4aea460e9fdfae26_s1,Ho et al. (2017),YES,Ho_et_al_2017__a4aea460e9fdfae26_s1.md
a53ac421a426041d2_s1,Hofmans & Bos (2025),YES,Hofmans_Bos_2025__a53ac421a426041d2_s1.md
a9463d098431ad6f7_s1,Hopkins (2021),NO,Hopkins_2021__a9463d098431ad6f7_s1.md
a9463d098431ad6f7_s2,Hopkins (2021),NO,Hopkins_2021__a9463d098431ad6f7_s2.md
a69295c33195177a3_s1,Hough & Juvina (2022),YES,Hough_Juvina_2022__a69295c33195177a3_s1.md
a3bad33b1442f406f_s1,Huang et al. (2025),YES,Huang_et_al_2025__a3bad33b1442f406f_s1.md
a937c70ec9653c074_s1,Huang et al. (2026),YES,Huang_et_al_2026__a937c70ec9653c074_s1.md
a5fa9856df9dfb976_s1,Huber et al. (2015),YES,Huber_et_al_2015__a5fa9856df9dfb976_s1.md
a0982d65a745c9665_s1,Hula et al. (2015),YES,Hula_et_al_2015__a0982d65a745c9665_s1.md
a8ee4d53d01f352c4_s1,Hula et al. (2018),YES,Hula_et_al_2018__a8ee4d53d01f352c4_s1.md
a0b98d98d2ba787b1_s1,Hula et al. (2021),YES,Hula_et_al_2021__a0b98d98d2ba787b1_s1.md
aba1374805b0f9772_s1,Hunter et al. (2022),YES,Hunter_et_al_2022__aba1374805b0f9772_s1.md
a345fc694857a72b0_s1,Hétu et al. (2017),YES,H_tu_et_al_2017__a345fc694857a72b0_s1.md
a41e88db4ec71fbb1_s1,Ide et al. (2018),YES,Ide_et_al_2018__a41e88db4ec71fbb1_s1.md
a8bcb614a58101314_s1,Ide et al. (2018),YES,Ide_et_al_2018__a8bcb614a58101314_s1.md
a8f7679fe2ca5768f_s4,Iotzov (2022),NO,Iotzov_2022__a8f7679fe2ca5768f_s4.md
a0b4fbf3f43250a3e_s1,Jangard (2025),YES,Jangard_2025__a0b4fbf3f43250a3e_s1.md
a27a2b2cebe0c8587_s1,Jangard et al. (2025),YES,Jangard_et_al_2025__a27a2b2cebe0c8587_s1.md
a33e6f2cfa2002f06_s1,Jangard et al. (2025),YES,Jangard_et_al_2025__a33e6f2cfa2002f06_s1.md
afb8dab514dfd4d76_s1,Jansen et al. (2023),YES,Jansen_et_al_2023__afb8dab514dfd4d76_s1.md
a89991d8ca0b50e35_s1,Jiang et al. (2025),YES,Jiang_et_al_2025__a89991d8ca0b50e35_s1.md
add08712d32ca9aeb_s1,Jin et al. (2023),YES,Jin_et_al_2023__add08712d32ca9aeb_s1.md
ae615969313c207aa_s1,Jin et al. (2023),YES,Jin_et_al_2023__ae615969313c207aa_s1.md
a65eda4ccd581548e_s1,Jin et al. (2025),YES,Jin_et_al_2025__a65eda4ccd581548e_s1.md
a755398898eeb5ca3_s1,Jones et al. (2011),YES,Jones_et_al_2011__a755398898eeb5ca3_s1.md
a3fe85a37992e6e91_s1,Jones et al. (2014),YES,Jones_et_al_2014__a3fe85a37992e6e91_s1.md
a3131de84618ce7d6_s1,Kang et al. (2021),YES,Kang_et_al_2021__a3131de84618ce7d6_s1.md
a243d5dfd1ae939fc_s1,Kang et al. (2024),YES,Kang_et_al_2024__a243d5dfd1ae939fc_s1.md
a46912a9be5d7171a_s1,Karvelis et al. (2024),YES,Karvelis_et_al_2024__a46912a9be5d7171a_s1.md
a9954ad15eee76513_s1,Khalvati (2021),YES,Khalvati_2021__a9954ad15eee76513_s1.md
a9954ad15eee76513_s2,Khalvati (2021),YES,Khalvati_2021__a9954ad15eee76513_s2.md
a9954ad15eee76513_s3,Khalvati (2021),YES,Khalvati_2021__a9954ad15eee76513_s3.md
a9954ad15eee76513_s4,Khalvati (2021),YES,Khalvati_2021__a9954ad15eee76513_s4.md
a9954ad15eee76513_s5,Khalvati (2021),YES,Khalvati_2021__a9954ad15eee76513_s5.md
a7a0c89d37037a4ba_s1,Khalvati et al. (2016),YES,Khalvati_et_al_2016__a7a0c89d37037a4ba_s1.md
a26bb57d6400eea38_s1,Khalvati et al. (2019),YES,Khalvati_et_al_2019__a26bb57d6400eea38_s1.md
ad572f499ac2a7d6a_s1,Khalvati et al. (2019),YES,Khalvati_et_al_2019__ad572f499ac2a7d6a_s1.md
acb15cc5b7a80075c_s1,Kim et al. (2021),YES,Kim_et_al_2021__acb15cc5b7a80075c_s1.md
ad869b3b0665cb6ac_s1,Kim et al. (2025),YES,Kim_et_al_2025__ad869b3b0665cb6ac_s1.md
af8fa2a67a71b35a3_s1,Kim et al. (2025),YES,Kim_et_al_2025__af8fa2a67a71b35a3_s1.md
a11b7372abc90e41c_s1,King-Casas et al. (2005),YES,King_Casas_et_al_2005__a11b7372abc90e41c_s1.md
a058c75e2ab740b1d_s1,Kleberg et al. (2023),YES,Kleberg_et_al_2023__a058c75e2ab740b1d_s1.md
aed34e7341d5fced8_s1,Koban et al. (2017),YES,Koban_et_al_2017__aed34e7341d5fced8_s1.md
a95540e306d318922_s1,Koban et al. (2023),YES,Koban_et_al_2023__a95540e306d318922_s1.md
acf9caf573646169b_s1,Kobza & Bellebaum (2015),YES,Kobza_Bellebaum_2015__acf9caf573646169b_s1.md
a950c7c6f86c80e02_s1,Konovalov et al. (2021),YES,Konovalov_et_al_2021__a950c7c6f86c80e02_s1.md
a2288ea970dce3aa7_s1,Kruppa et al. (2019),YES,Kruppa_et_al_2019__a2288ea970dce3aa7_s1.md
a22a594d9a3396e5c_s1,Kumar & Steyvers (2023),YES,Kumar_Steyvers_2023__a22a594d9a3396e5c_s1.md
a1bfd75a72ec23693_s1,Kuroda et al. (2022),YES,Kuroda_et_al_2022__a1bfd75a72ec23693_s1.md
ac0dfea8131964cfb_s1,Kutlikova et al. (2023),YES,Kutlikova_et_al_2023__ac0dfea8131964cfb_s1.md
