study_id,paper_id,citation_short,year,on_website,study_focus_short,row_checked,fields_with_errors,corrections,reviewer_note,reviewer,date_checked,status
a1a5092dd3224df6e_s1,a1a5092dd3224df6e,Turner et al. (2025),2025,YES,Reward learning and habit formation on social media (Twitter/X),,,,,,,pending
a1a7bf1b4dc8e94bb_s1,a1a7bf1b4dc8e94bb,Moutoussis et al. (2016),2016,YES,Social influence learning / preference learning under social influence,,,,,,,pending
a1b6b5214ee0f278c_s1,a1b6b5214ee0f278c,Diaconescu et al. (2017),2017,YES,Social learning from advice,,,,,,,pending
a1b888b8698de3495_s1,a1b888b8698de3495,Pisauro et al. (2022),2022,YES,Cooperation-competition trade-off learning,,,,,,,pending
a1bc018f207c35dac_s1,a1bc018f207c35dac,Yu & Ballard (2007),2007,YES,Word learning / cross-situational word-referent mapping with social cues,,,,,,,pending
a1bfd75a72ec23693_s1,a1bfd75a72ec23693,Kuroda et al. (2022),2022,YES,Norm learning / social influence learning,,,,,,,pending
a1c82b2a601b93eeb_s1,a1c82b2a601b93eeb,Moore (2015),2015,YES,Reward prediction error in probabilistic decision making (non-social),,,,,,,pending
a1cf8e25627c14bde_s1,a1cf8e25627c14bde,Allidina & Cunningham (2021),2021,YES,Stereotype persistence through avoidance learning,,,,,,,pending
a1d48d8ad0e3d0d03_s1,a1d48d8ad0e3d0d03,Arslan et al. (2017),2017,YES,Mentalizing learning,,,,,,,pending
a1d61851931124089_s1,a1d61851931124089,Bellebaum et al. (2012),2012,YES,observational learning,,,,,,,pending
a1d626bb04fc5f0ba_s1,a1d626bb04fc5f0ba,Yoon et al. (2018),2018,YES,Social influence on active learning -- how social context (presence of an,,,,,,,pending
a1e22fa6e997143f8_s1,a1e22fa6e997143f8,Zhang et al. (2024),2024,YES,Belief-based learning in competitive economic games,,,,,,,pending
a204653ce20c31792_s1,a204653ce20c31792,Becker et al. (2017),2017,YES,Social influence learning / wisdom of crowds,,,,,,,pending
a20e877f71fab27e9_s1,a20e877f71fab27e9,Cisler et al. (2019),2019,YES,Reinforcement learning and prediction error encoding in trauma-exposed,,,,,,,pending
a2174e45d82a22e2a_s1,a2174e45d82a22e2a,Watanabe et al. (2013),2013,YES,Emotional modulation of reward prediction error learning,,,,,,,pending
a2188d678b95a3af7_s1,a2188d678b95a3af7,Na et al. (2021),2021,YES,Social controllability learning,,,,,,,pending
a21d0e1221204e6a7_s1,a21d0e1221204e6a7,Collins et al. (2016),2016,YES,Trust learning / cooperation learning,,,,,,,pending
a224dcce611192bff_s1,a224dcce611192bff,Li et al. (2023),2023,YES,Trust learning,,,,,,,pending
a224dcce611192bff_s2,a224dcce611192bff,Li et al. (2023),2023,YES,Trust learning,,,,,,,pending
a224dcce611192bff_s3,a224dcce611192bff,Li et al. (2023),2023,YES,Trust learning,,,,,,,pending
a224dcce611192bff_s4,a224dcce611192bff,Li et al. (2023),2023,YES,Trust learning,,,,,,,pending
a2288ea970dce3aa7_s1,a2288ea970dce3aa7,Kruppa et al. (2019),2019,YES,Social reinforcement learning,,,,,,,pending
a22a39917d0dd8ed8_s1,a22a39917d0dd8ed8,Barnby et al. (2024),2024,YES,Mentalizing learning / mental state inference under dopaminergic manipulation,,,,,,,pending
a22a594d9a3396e5c_s1,a22a594d9a3396e5c,Kumar & Steyvers (2023),2023,YES,Cooperative helping behavior through pragmatic inference and goal inference in,,,,,,,pending
a2313f01554209ba3_s1,a2313f01554209ba3,Deffner et al. (2024),2024,YES,Social foraging / social information use in collective search,,,,,,,pending
a23346253c62b30ea_s1,a23346253c62b30ea,Realpe-Gomez et al. (2018),2018,YES,Cooperation learning / norm conformity learning -- how humans balance selfish,,,,,,,pending
a243d5dfd1ae939fc_s1,a243d5dfd1ae939fc,Kang et al. (2024),2024,YES,Observational learning,,,,,,,pending
a26945158028580df_s1,a26945158028580df,Wittmann et al. (2021),2021,YES,Self-other mergence,,,,,,,pending
a26bb57d6400eea38_s1,a26bb57d6400eea38,Khalvati et al. (2019),2019,YES,"Cooperation learning / group decision making -- modeling the ""mind of the",,,,,,,pending
a27a2b2cebe0c8587_s1,a27a2b2cebe0c8587,Jangard et al. (2025),2025,YES,Prosocial learning · social reward learning (learning which actions benefit others) in alcohol use disorder,,,,,,,pending
a27efb8686dd0915f_s1,a27efb8686dd0915f,Lockwood et al. (2019),2019,YES,Harm avoidance learning -- model-free vs. model-based learning when avoiding,,,,,,,pending
a286a3f21983708d7_s1,a286a3f21983708d7,Burnside et al. (2019),2019,YES,Observational learning -- whether the FRN (feedback-related negativity) encodes,,,,,,,pending
a29f8f737795fdfad_s1,a29f8f737795fdfad,Velez & Gweon (2019),2019,YES,Learning from advice · mentalizing learning,,,,,,,pending
a2aa67f2e9f38a8a5_s1,a2aa67f2e9f38a8a5,Ying et al. (2025),2025,YES,Adaptive social learning,,,,,,,pending
a2b27883579d6f342_s1,a2b27883579d6f342,Barnby et al. (2020),2020,YES,Paranoid belief attribution learning,,,,,,,pending
a2c08d3018fe4637d_s1,a2c08d3018fe4637d,Realpe-Gomez et al. (2018),2018,YES,Cooperation learning · norm conformity learning,,,,,,,pending
a2c8888de29cb7729_s1,a2c8888de29cb7729,Toyokawa & Gaissmaier (2022),2022,YES,Social influence learning / conformist social learning in risky decision making,,,,,,,pending
a2cdcaf4b59eacb91_s1,a2cdcaf4b59eacb91,Babur et al. (2024),2024,YES,Learning about relational value and reward from social acceptance/rejection · social affiliation learning,,,,,,,pending
a2effa7d6a769e079_s1,a2effa7d6a769e079,Shafto & Goodman (2008),2008,YES,Pedagogical learning / learning from teaching examples,,,,,,,pending
a2f1bdf3bb71d19ad_s1,a2f1bdf3bb71d19ad,Schultner et al. (2025),2025,YES,Social learning strategies,,,,,,,pending
a2fa292c96e609b5d_s1,a2fa292c96e609b5d,Lau et al. (2020),2020,YES,Social structure learning,,,,,,,pending
a30530da465ff788c_s1,a30530da465ff788c,Zhu et al. (2012),2012,YES,Strategic learning / competitive interaction learning,,,,,,,pending
a30fdbe97c54f68e0_s1,a30fdbe97c54f68e0,Sul et al. (2015),2015,YES,Prosocial learning,,,,,,,pending
a3131de84618ce7d6_s1,a3131de84618ce7d6,Kang et al. (2021),2021,YES,Observational learning — ingroup vs. outgroup action and outcome learning,,,,,,,pending
a31d161cea8e5f95a_s1,a31d161cea8e5f95a,Slagter et al. (2023),2023,YES,Social information search,,,,,,,pending
a31e49169e6cf1741_s1,a31e49169e6cf1741,Tomova et al. (2022),2022,YES,Social isolation effects on reward seeking and reward learning,,,,,,,pending
a321d661f8f8442f8_s1,a321d661f8f8442f8,Hauke et al. (2024),2024,YES,Learning from advice / social learning under volatility in emerging psychosis,,,,,,,pending
a33805f70dcd7a684_s1,a33805f70dcd7a684,Cook et al. (2018),2018,YES,Social learning vs. individual learning,,,,,,,pending
a33e6f2cfa2002f06_s1,a33e6f2cfa2002f06,Jangard et al. (2025),2025,YES,Prosocial learning -- whether individuals with alcohol use disorder (AUD) show,,,,,,,pending
a345fc694857a72b0_s1,a345fc694857a72b0,Hétu et al. (2017),2017,YES,Norm learning / social norm adaptation,,,,,,,pending
a35d4c61245866a1e_s1,a35d4c61245866a1e,Namba et al. (2024),2024,YES,Associative value learning and value-driven attentional detection of neutral,,,,,,,pending
a3820794865baaf9c_s1,a3820794865baaf9c,Lockwood et al. (2020),2020,YES,Harm avoidance learning · moral learning,,,,,,,pending
a382d4a752f452cfa_s1,a382d4a752f452cfa,Moreira (2022),2022,YES,Social decision-making preferences involving close others (parent vs. friend),,,,,,,pending
a391be02b620399e0_s1,a391be02b620399e0,Waite et al. (2024),2024,YES,Social feedback learning in borderline personality disorder -- examining how,,,,,,,pending
a3ab5b69538196322_s1,a3ab5b69538196322,Na (2021),,NO,Social controllability learning,,,,,,,pending
a3ab5b69538196322_s2,a3ab5b69538196322,Na (2021),,NO,Aberrant social controllability computation in relation to delusional traits,,,,,,,pending
a3bad33b1442f406f_s1,a3bad33b1442f406f,Huang et al. (2025),2025,YES,Social facilitation/inhibition of instrumental learning,,,,,,,pending
a3bfa9c0b2d56e036_s1,a3bfa9c0b2d56e036,Hammond et al. (2023),2023,YES,Socio-affective learning under volatility,,,,,,,pending
a3c64dbb044e603a3_s1,a3c64dbb044e603a3,Zhang et al. (2022),2022,YES,Social influence learning / social influence on goal-directed learning,,,,,,,pending
a3cd58a7f769db5a7_s1,a3cd58a7f769db5a7,Ohnishi & Manchanda (2016),2016,YES,Consumer social learning about product quality (videogame consoles) via online,,,,,,,pending
a3e50173a79c7cd03_s1,a3e50173a79c7cd03,Benistant et al. (2024),2024,YES,Social influence on cheating behavior / moral contagion -- how learning about,,,,,,,pending
a3eee84fe04f1d7f6_s1,a3eee84fe04f1d7f6,Muller-Pinzler et al. (2019),2019,YES,Self-related ability belief updating,,,,,,,pending
a3ef0606f3dae7a0f_s1,a3ef0606f3dae7a0f,Dubey (2023),2023,YES,Not applicable -- no chapter involves computational modeling of social learning,,,,,,,pending
a3f938d0a85d88449_s1,a3f938d0a85d88449,Wunderlich et al. (2011),2011,YES,Hierarchical causal inference during reversal learning,,,,,,,pending
a3fe85a37992e6e91_s1,a3fe85a37992e6e91,Jones et al. (2014),2014,YES,Social reinforcement learning,,,,,,,pending
a3fea0686f1b28640_s1,a3fea0686f1b28640,Zohary et al. (2022),2022,YES,Gaze following / unsupervised visual learning of gaze direction,,,,,,,pending
a41e88db4ec71fbb1_s1,a41e88db4ec71fbb1,Ide et al. (2018),2018,YES,Trust learning; reinforcement learning under oxytocin; social reward learning,,,,,,,pending
a4386e36047c2a720_s1,a4386e36047c2a720,Zaki et al. (2016),2016,YES,Emotion inference learning,,,,,,,pending
a4436fb2259d8f3d0_s1,a4436fb2259d8f3d0,Gao et al. (2020),2020,YES,Reinforcement learning under mortality salience,,,,,,,pending
a44cda9eb501547e6_s1,a44cda9eb501547e6,Allidina (2018),2018,YES,Stereotype learning / social group learning,,,,,,,pending
a461a7be9cf637fef_s1,a461a7be9cf637fef,Saulin (2022),,NO,Empathy-related social closeness learning,,,,,,,pending
a461a7be9cf637fef_s2,a461a7be9cf637fef,Saulin (2022),,NO,Empathy-related social closeness learning,,,,,,,pending
a461a7be9cf637fef_s3,a461a7be9cf637fef,Saulin (2022),,NO,Empathy-related social closeness learning,,,,,,,pending
a461a7be9cf637fef_s4,a461a7be9cf637fef,Saulin (2022),,NO,Empathy-related social closeness learning,,,,,,,pending
a46912a9be5d7171a_s1,a46912a9be5d7171a,Karvelis et al. (2024),2024,YES,Learning from advice / trust learning under volatility,,,,,,,pending
a48b47874f742ff5e_s1,a48b47874f742ff5e,Stanley (2016),2016,YES,Trait learning / observational learning about others' generosity,,,,,,,pending
a48cb3593974c3b46_s1,a48cb3593974c3b46,Duderstadt et al. (2022),2022,YES,Social norm learning,,,,,,,pending
a49219b09016ebf46_s1,a49219b09016ebf46,Heijne et al. (2018),2018,YES,Stay/leave decision-making,,,,,,,pending
a49c01d79541cb445_s1,a49c01d79541cb445,Deffner et al. (2020),2020,YES,Social learning strategies (conformist and experience-biased) in dynamic,,,,,,,pending
a4aea460e9fdfae26_s1,a4aea460e9fdfae26,Ho et al. (2017),2017,YES,Observational learning / learning from pedagogical demonstration,,,,,,,pending
a4af8527b1cc684fd_s1,a4af8527b1cc684fd,Hertz et al. (2021),2021,YES,Social learning from advice vs. observation,,,,,,,pending
a4b676be68b05d63f_s1,a4b676be68b05d63f,Ereira et al. (2020),2020,YES,Self-Other boundary learning,,,,,,,pending
a4c798581c32b3068_s1,a4c798581c32b3068,Shin et al. (2019),2019,YES,Social influence learning,,,,,,,pending
a4d0cf163e6e71f5b_s1,a4d0cf163e6e71f5b,Thompson & Westwater (2017),2017,YES,Social reinforcement learning · Pavlovian-Instrumental interactions during learning from social,,,,,,,pending
a4e38a51c7a61c0bf_s1,a4e38a51c7a61c0bf,Suzuki et al. (2016),2016,YES,,,,,,,,pending
a5025a357ec0cf23b_s1,a5025a357ec0cf23b,Story et al. (2024),2024,YES,Mentalizing learning / self-other distinction in belief updating,,,,,,,pending
a51c8ed5a90786abc_s1,a51c8ed5a90786abc,Stoddard et al. (2023),2023,YES,Interpretation bias learning,,,,,,,pending
a522a4a6c2827b1e8_s1,a522a4a6c2827b1e8,Falben et al. (2023),2023,YES,Stereotype-based learning,,,,,,,pending
a525b90f489739776_s1,a525b90f489739776,Barnby (2021),,NO,Paranoid social inference · social learning under uncertainty,,,,,,,pending
a53ac421a426041d2_s1,a53ac421a426041d2,Hofmans & Bos (2025),2025,YES,Social information use under uncertainty · Bayesian belief updating with social information,,,,,,,pending
a5410643e38a591ad_s1,a5410643e38a591ad,Buritica (2016),2016,YES,Advice taking from peers across development,,,,,,,pending
a549906e29a2f9bf5_s1,a549906e29a2f9bf5,Allidina et al. (2025),2025,YES,Social categorization learning,,,,,,,pending
a549906e29a2f9bf5_s2,a549906e29a2f9bf5,Allidina et al. (2025),2025,YES,Social categorization learning,,,,,,,pending
a549906e29a2f9bf5_s3,a549906e29a2f9bf5,Allidina et al. (2025),2025,YES,Social categorization learning,,,,,,,pending
a5827b540b620ffdf_s1,a5827b540b620ffdf,Meffert et al. (2015),2015,YES,Social referencing; observational valence learning from emotional expressions,,,,,,,pending
a5894b4a391e9517f_s1,a5894b4a391e9517f,Guilbeault et al. (2025),2025,YES,Social convention learning,,,,,,,pending
a595d96a627a0d6c7_s1,a595d96a627a0d6c7,Guigon (2022),2022,YES,Inferring others' preferences for information · social inference about information-seeking preferences,,,,,,,pending
a5a61bfd3d0b2ae26_s1,a5a61bfd3d0b2ae26,Low et al. (2022),2022,YES,Social approval learning / self-esteem updating,,,,,,,pending
a5b2c0aa182d22e77_s1,a5b2c0aa182d22e77,Atlas et al. (2016),2016,YES,Learning from instructions / instructed aversive learning,,,,,,,pending
a5c364d5139293d80_s1,a5c364d5139293d80,Sevgi et al. (2020),2020,YES,Social cue integration in learning,,,,,,,pending
a5dcc5dc6991a975a_s1,a5dcc5dc6991a975a,Kwak & Huettel (2016),2016,YES,Prosocial learning,,,,,,,pending
a5dd8a3151396baf3_s1,a5dd8a3151396baf3,Charpentier et al. (2019),2019,YES,Observational learning -- arbitration between imitation (action copying) and,,,,,,,pending
a5eef886e2c800a4d_s1,a5eef886e2c800a4d,Lockwood et al. (2016),2016,YES,Prosocial learning,,,,,,,pending
a5f0d9e7021894afb_s1,a5f0d9e7021894afb,DeJoseph et al. (2024),2024,YES,Contextual modulation of reinforcement learning by socioemotional stimulus,,,,,,,pending
a5fa9856df9dfb976_s1,a5fa9856df9dfb976,Huber et al. (2015),2015,YES,Social influence learning / informational cascades,,,,,,,pending
a6282feec6a507024_s1,a6282feec6a507024,Campbell-Meiklejohn et al. (2010),2010,YES,Social influence learning,,,,,,,pending
a631236efa231f350_s1,a631236efa231f350,Hawkins et al. (2023),2023,YES,Convention learning / social coordination learning,,,,,,,pending
a635c02bbe34f52fb_s1,a635c02bbe34f52fb,Rosenblau et al. (2018),2018,YES,Preference inference learning / mentalizing learning,,,,,,,pending
a6404fb3831ef9006_s1,a6404fb3831ef9006,Buritica et al. (2024),2024,YES,Observational learning,,,,,,,pending
a64cfcd55a5c3f4aa_s1,a64cfcd55a5c3f4aa,Zhu et al. (2019),2019,YES,Strategic learning in competitive economic games,,,,,,,pending
a6546b339f2c30246_s1,a6546b339f2c30246,Stefanics et al. (2019),2019,YES,Perceptual prediction error learning,,,,,,,pending
a65eda4ccd581548e_s1,a65eda4ccd581548e,Jin et al. (2025),2025,YES,Norm learning / fairness norm adaptation -- investigating the heritability of,,,,,,,pending
a661fc88f8387f952_s1,a661fc88f8387f952,Haaker & Olsson (2018),2018,YES,Social fear learning / observational fear conditioning -- comparing direct,,,,,,,pending
a66f741ba53ddd6f0_s1,a66f741ba53ddd6f0,Hertz et al. (2017),2017,YES,Social influence learning,,,,,,,pending
a6775e847c8afacd3_s1,a6775e847c8afacd3,Benistant et al.,,YES,Social network learning,,,,,,,pending
a684568d126a9a533_s1,a684568d126a9a533,Hardy et al. (2022),2022,YES,Social transmission,,,,,,,pending
a684568d126a9a533_s2,a684568d126a9a533,Hardy et al. (2022),2022,YES,Social transmission,,,,,,,pending
a68ddc721d9a6e4ec_s1,a68ddc721d9a6e4ec,Yifrah et al. (2021),2021,YES,Observational learning,,,,,,,pending
a69295c33195177a3_s1,a69295c33195177a3,Hough & Juvina (2022),2022,YES,Cooperation/coordination learning,,,,,,,pending
a69f025cbcb4e3d3f_s1,a69f025cbcb4e3d3f,Deng et al. (2023),2023,YES,Prosocial learning,,,,,,,pending
a6a7eaf0b8cc43d62_s1,a6a7eaf0b8cc43d62,Frey et al. (2021),,YES,social reinforcement learning; depression,,,,,,,pending
a6a9f8812b97f5a58_s1,a6a9f8812b97f5a58,Lindstrom et al. (2015),2015,YES,Fear-relevant stimulus biasing of instrumental avoidance learning,,,,,,,pending
a6b5c1c0696212ab4_s1,a6b5c1c0696212ab4,Panizza et al. (2021),2021,YES,Social conformity / norm salience learning,,,,,,,pending
a6b9bc33a9a00f6e5_s1,a6b9bc33a9a00f6e5,Unruh-Pinheiro et al. (2020),2020,YES,Decision confidence metacognition in value-based choice (non-social) · Confidence: HIGH,,,,,,,pending
a6dd1e063ef951bf7_s1,a6dd1e063ef951bf7,Cooper et al. (2014),2014,YES,Social approval learning / romantic interest learning,,,,,,,pending
a6de40ea666d052f4_s1,a6de40ea666d052f4,Schulze et al. (2015),2015,YES,Competitive reinforcement learning,,,,,,,pending
a6de40ea666d052f4_s2,a6de40ea666d052f4,Schulze et al. (2015),2015,YES,Competitive reinforcement learning under risk,,,,,,,pending
a6e0cdae5974d3b41_s1,a6e0cdae5974d3b41,Barnby et al. (2025),2025,YES,Self-other generalisation in social learning,,,,,,,pending
a6e4643b5be9b53d0_s1,a6e4643b5be9b53d0,Chang et al. (2010),2010,YES,Trust learning,,,,,,,pending
a6e7df7b5f83f3b8c_s1,a6e7df7b5f83f3b8c,Toyokawa et al. (2018),2018,YES,Social learning strategies in collective decision-making,,,,,,,pending
a6e960f86a4bc326f_s1,a6e960f86a4bc326f,Blanchard et al. (2020),2020,YES,Social exclusion,,,,,,,pending
a6ef8f19d4f08cf77_s1,a6ef8f19d4f08cf77,Hillebrandt (2014),2014,YES,The overarching theme is social cognition examined through the lens of,,,,,,,pending
a6f1e0378e031c979_s1,a6f1e0378e031c979,Vahedi et al. (2025),2025,YES,Observational learning; feedback learning; reward processing in OCD,,,,,,,pending
a6f9cb6e230fc8bce_s1,a6f9cb6e230fc8bce,Heffner et al. (2025),2025,YES,Social learning · affective prediction error learning,,,,,,,pending
a70bb29710dadbc8a_s1,a70bb29710dadbc8a,Tehrani-Safa et al. (2023),2023,YES,Observational learning of another person's risk attitude,,,,,,,pending
a713034c4a22ef323_s1,a713034c4a22ef323,Fareri et al. (2015),2015,YES,Trust learning / collaboration learning -- how social value of reciprocation,,,,,,,pending
a71954caf3dc912b6_s1,a71954caf3dc912b6,Xiang et al. (2012),2012,YES,Mentalizing learning / depth-of-thought in social exchange,,,,,,,pending
a71bd3ab98fb45944_s1,a71bd3ab98fb45944,Son (2023),,NO,Social network learning / social link prediction -- learning cognitive maps of,,,,,,,pending
a72733d5dd128ea96_s1,a72733d5dd128ea96,Chen et al. (2024),2024,YES,Adaptive teaching and learning from feedback,,,,,,,pending
a72ee534eb86c7c7b_s1,a72ee534eb86c7c7b,Bai et al. (2022),2022,YES,Stereotype learning / social exploration learning -- How locally adaptive,,,,,,,pending
a738ffd23b825d7eb_s1,a738ffd23b825d7eb,Hill et al. (2017),2017,YES,Mentalizing learning / strategic social learning,,,,,,,pending
a753ce0a16a71460a_s1,a753ce0a16a71460a,Naito et al. (2022),2022,YES,Social learning in collective search,,,,,,,pending
a755398898eeb5ca3_s1,a755398898eeb5ca3,Jones et al. (2011),2011,YES,Social reinforcement learning,,,,,,,pending
