study_id,paper_id,citation_short,year,on_website,eligibility_flagged,eligibility_flag_reason,human_decision,human_rationale,reviewer,date_checked,status
a095f158fe440440f_s1,a095f158fe440440f,Shaw et al. (2018),2018,YES,YES,"FLAG — borderline learning-vs-decision-making. The reciprocity model is a utility/expected utility model rather than a trial-by-trial learning model (no explicit learning rate or value update rule). The Proposer's memory parameter tracks prior Responder behaviour, providing an adaptive element, but this is closer to statistical estimation of opponent behaviour than standard computational learning. The RL model was tested but lost. Include but flag.",,,,,pending
a0982d65a745c9665_s1,a0982d65a745c9665,Hula et al. (2015),2015,YES,NO,,,,,,pending
a098ba4b86e8ffd67_s1,a098ba4b86e8ffd67,Luo et al. (2025),2025,YES,NO,,,,,,pending
a0a10385d71888bda_s1,a0a10385d71888bda,Decker et al. (2015),2015,YES,YES,"The instruction source is explicitly non-social (on-screen text, ""not directly associated with the experimenter, or with any specific individual""). The learning is about probabilistic reward values of abstract stimuli, not about a social target. This paper examines how instruction (a potential social learning channel) influences experiential learning, but the instruction itself is not social in this implementation. FLAG: borderline social context — instruction is a non-social proxy for advice/social learning; no actual social agent or social target.",,,,,pending
a0a3915bf66efa3e5_s1,a0a3915bf66efa3e5,Buritica et al. (2019),2019,YES,NO,,,,,,pending
a0af831aedaa9655c_s1,a0af831aedaa9655c,Rosler et al. (2025),2025,YES,NO,,,,,,pending
a0af831aedaa9655c_s2,a0af831aedaa9655c,Rosler et al. (2025),2025,YES,NO,,,,,,pending
a0b4fbf3f43250a3e_s1,a0b4fbf3f43250a3e,Jangard (2025),2025,YES,YES,"Borderline -- this is a value/preference evaluation task with computational modeling, but learning does not occur over time in the traditional sense (no trial-by-trial updating). The models are static preference models, not learning models. Flag: ""Borderline learning-vs-decision-making; static preference evaluation rather than learning over time.",,,,,pending
a0b81277f606fe157_s1,a0b81277f606fe157,Fineberg et al. (2018),2018,YES,NO,,,,,,pending
a0b98d98d2ba787b1_s1,a0b98d98d2ba787b1,Hula et al. (2021),2021,YES,NO,,,,,,pending
a0c0a3b5b57e95b71_s1,a0c0a3b5b57e95b71,Driessen et al. (2025),2025,YES,NO,,,,,,pending
a0c30267245895723_s1,a0c30267245895723,Ham et al. (2025),2025,YES,YES,"Borderline -- the ""learning"" is single-trial inference from one example rather than learning over time. The learner does not receive repeated feedback or update beliefs across trials. The teacher makes 18 one-shot decisions (one per village) but there is no trial-by-trial updating of a learning parameter. This is closer to one-shot pedagogical inference/communication than learning over time. FLAG: borderline learning-vs-decision-making; may be one-shot inference rather than temporal learning.",,,,,pending
a0c8ea17d52248403_s1,a0c8ea17d52248403,Bellucci & Park (2023),2023,YES,NO,,,,,,pending
a0cbdcc9dfd3eb389_s1,a0cbdcc9dfd3eb389,Guennouni (2022),,NO,YES,"Borderline social context — opponent is a pre-programmed computer agent with fixed strategy, not a social agent. Competitive zero-sum games lack cooperative social dimension. However, task explicitly framed as opponent modeling and the work tests opponent model transfer, which is a social cognitive ability. FLAG but do not exclude.",,,,,pending
a0cbdcc9dfd3eb389_s2,a0cbdcc9dfd3eb389,Guennouni (2022),,NO,YES,"FLAG: Social agent is an automated HMM system, not a human partner. However, the HMM was trained on human behavioral data and participants were not told the opponent was a computer. Qualifies with flag.",,,,,pending
a0cbdcc9dfd3eb389_s3,a0cbdcc9dfd3eb389,Guennouni (2022),,NO,YES,FLAG: Social agent is an automated HMM system. Participants were told they faced human opponents but actually faced computer agents. Qualifies with flag.,,,,,pending
a0cbdcc9dfd3eb389_s4,a0cbdcc9dfd3eb389,Guennouni (2022),,NO,YES,"FLAG: This chapter fits HMMs to archival Trust Game data (King-Casas et al., 2008, and a BPD study; N=381 games total). It does not collect new behavioral data. It is a descriptive modeling exercise — the HMMs are not models of a learning process but rather unsupervised characterizations of behavioral patterns. Borderline eligible: uses computational modeling and human behavioral data, but the ""learning"" component is the HMM identifying latent states rather than modeling a learning process per se.",,,,,pending
a0cbdcc9dfd3eb389_s5,a0cbdcc9dfd3eb389,Guennouni (2022),,NO,YES,"FLAG: No human behavioral data collected. Purely computational simulation — POMDP trustee agents play against HMM investors. Does not meet inclusion criterion of ""uses human behavioral data."" However, the POMDP framework and utility function parameters were calibrated against human data from Chapter 3.",,,,,pending
a0cdadbb47a85fb46_s1,a0cdadbb47a85fb46,Oktar et al. (2024),2024,YES,YES,"FLAG — This paper presents a computational model of social inference from testimony, but it is unclear whether ""learning over time"" occurs. The task involves one-shot belief updating in response to a single recommendation under varying conditions, not iterative learning over multiple trials. The model formalizes rational inference rather than a learning process that unfolds over time. Borderline: social inference / one-shot Bayesian belief updating rather than learning over time. Additionally, the model is not formally fit to participant data — only qualitative predictions are tested.",,,,,pending
a0cdccddf2144a383_s1,a0cdccddf2144a383,Becker et al. (2019),2019,YES,YES,"MEDIUM — borderline social learning; social observation modulates non-social RL rather than constituting social learning per se

### CANNOT_FIND
- Mean fitted parameter values for learning rates (alpha) and inverse temperatures (beta)
- Explicit description of parameter estimation method (MLE, MAP, or hierarchical Bayesian)
- Supplement (no supplement file found for this paper)
- Effect sizes for neural contrasts (only FWE-corrected TFCE maps reported)
- Whether data or code are publicly shared

### OTHER NOTES
- This is a bioRxiv preprint (posted October 30, 2019). Should check whether a peer-reviewed version has been published.
- Almost all participants (all except one) also participated in an EEG study by Voegler et al. (2019) — potential overlap/duplicate data concern for behavioral results.
- The DCM analysis (VS to DMPFC connectivity modulated by RPE) is a secondary analysis using effective connectivity, not the primary RL model.
- The paper's primary contribution is showing that social observation context alters RPE-related neural signaling in SAD, particularly in DMPFC Area 9, rather than discovering a novel social learning mechanism.
- No supplement was found; supplement is referenced in the text (Supplementary Figures 1 and 2) but no separate supplement file is available. Flagging: ""Supplement not accessible.""

### RE_EXTRACT_FLAG: false

---

### SELF-CRITIQUE CHECK

1. Re-read output: Complete.
2. Eligibility flag is appropriately set — this is borderline social learning (social modulation of non-social RL). The computational modeling criterion is met (Q-learning), human behavioral data is used, and learning occurs over time (360 trials). The social component is contextual (observation) rather than the learning target or source being social.
3. Coordinates confirmed from text: DMPFC Area 9 (-4, 32, 36), lentiform nucleus (12, 8, -2), VS (-10, 9, -2).
4. WC scores are consistent: only 1 model tested → Rule 2 = No, Rule 7 = No. No simulation → Rule 3 = No. No parameter/model recovery → Rules 5, 6 = No.
5. No data fabricated; blank fields flagged in cannot_find.",,,,,pending
a0ce362f529aa5f00_s1,a0ce362f529aa5f00,Pärnamets & Olsson (2020),2020,YES,NO,,,,,,pending
a0d3ac52f7335afbc_s1,a0d3ac52f7335afbc,Reiter et al. (2019),2019,YES,NO,,,,,,pending
a0d3faac61561129c_s1,a0d3faac61561129c,Elder et al. (2023),2023,YES,NO,,,,,,pending
a0dbe04cafc314aa9_s1,a0dbe04cafc314aa9,Sul et al. (2015),2015,YES,NO,,,,,,pending
a0f14a5ff011d1dc8_s1,a0f14a5ff011d1dc8,Feng et al. (2020),2020,YES,YES,"type: review; does not use original computational modeling with human behavioral data; systematic review of 54 RL studies in depression, addiction, and anxiety. FLAG but do not exclude.",,,,,pending
a0f14a5ff011d1dc8_s2,a0f14a5ff011d1dc8,Feng et al. (2020),2020,YES,NO,,,,,,pending
a0f14a5ff011d1dc8_s3,a0f14a5ff011d1dc8,Feng et al. (2020),2020,YES,NO,,,,,,pending
a0f2e0862f7be225c_s1,a0f2e0862f7be225c,Charpentier et al. (2020),2020,YES,NO,,,,,,pending
a10a4b2c7e36e888a_s1,a10a4b2c7e36e888a,Zhao et al. (2023),2023,YES,NO,,,,,,pending
a119de5d9eabacce5_s1,a119de5d9eabacce5,Rhoads et al. (2025),2025,YES,NO,,,,,,pending
a11b7372abc90e41c_s1,a11b7372abc90e41c,King-Casas et al. (2005),2005,YES,YES,"The paper does not fit a formal computational model to behavioral or neural data. The analogy to reinforcement learning prediction errors is descriptive only. This should be flagged: ""No formal computational model fitted — descriptive/correlational analysis with RL analogy discussed but not implemented. Borderline for inclusion criterion 'uses computational modeling.",,,,,pending
a14d9513d093ee897_s1,a14d9513d093ee897,Molins et al. (2025),2025,YES,YES,"The learning context is NOT social. The IGT involves individual reinforcement learning from non-social monetary outcomes. The stress induction (TSST-VR) is social in nature, but the learning task itself does not involve learning in a social context. The paper does not meet the inclusion criterion ""learning occurs in a social context."" FLAG: non-social learning task; stress manipulation is social but learning/decision-making is non-social.",,,,,pending
a161e0ddcef2f9a88_s1,a161e0ddcef2f9a88,Schmid & Braun (2025),2025,YES,YES,"FLAGGED — borderline on ""learning in a social context."" The task involves group coordination and joint action, which is social, but the learning itself is primarily about one's own sensorimotor contribution (movement direction). The ""social"" aspect is that learning occurs in the context of other agents' actions creating noise/disturbance, and information must be transmitted between groups. The computational models describe individual-level Bayesian or bounded-rational learning, not social learning per se. Additionally, this is closer to sensorimotor adaptation/joint action coordination than social learning about social entities. Flag as: ""borderline — learning is sensorimotor coordination in a multi-agent context rather than learning about social agents or social information.",,,,,pending
a18b63d00c750fecf_s1,a18b63d00c750fecf,Levorsen et al. (2021),2021,YES,YES,"The computational model (Q-learning) is applied only to the nonsocial RL task, not to the social conformity task. The social conformity component uses regression analysis, not computational modeling. The paper's primary goal is to compare neural representations across tasks rather than to model social learning computationally. This is borderline for inclusion — the social conformity task involves learning-like preference change but is not modeled computationally. Flag: ""Computational model applied to nonsocial RL task only; social conformity assessed via regression, not computational model. Borderline: social learning not computationally modeled.",,,,,pending
a19d005cbfacf5616_s1,a19d005cbfacf5616,Thomas et al. (2022),2022,YES,NO,,,,,,pending
a1a5092dd3224df6e_s1,a1a5092dd3224df6e,Turner et al. (2025),2025,YES,NO,,,,,,pending
a1a7bf1b4dc8e94bb_s1,a1a7bf1b4dc8e94bb,Moutoussis et al. (2016),2016,YES,NO,,,,,,pending
a1b6b5214ee0f278c_s1,a1b6b5214ee0f278c,Diaconescu et al. (2017),2017,YES,NO,,,,,,pending
a1b888b8698de3495_s1,a1b888b8698de3495,Pisauro et al. (2022),2022,YES,NO,,,,,,pending
a1bc018f207c35dac_s1,a1bc018f207c35dac,Yu & Ballard (2007),2007,YES,NO,,,,,,pending
a1bfd75a72ec23693_s1,a1bfd75a72ec23693,Kuroda et al. (2022),2022,YES,NO,,,,,,pending
a1c82b2a601b93eeb_s1,a1c82b2a601b93eeb,Moore (2015),2015,YES,YES,Does not meet all inclusion criteria. Experiment 2 uses computational modeling with learning over time but the learning context is non-social (alien classification). Experiment 3 is social but has no computational model and no temporal learning. The author explicitly states no economic model was applied to Experiment 3 choices. Flag as: no single study satisfies all four criteria simultaneously.,,,,,pending
a1cf8e25627c14bde_s1,a1cf8e25627c14bde,Allidina & Cunningham (2021),2021,YES,NO,,,,,,pending
a1d48d8ad0e3d0d03_s1,a1d48d8ad0e3d0d03,Arslan et al. (2017),2017,YES,YES,"Borderline: empirical validation is cross-sectional (no learning observed in participants); learning occurs only in computational simulations. Also: participants are children (5-6 years), not a clinical or adult sample typically seen in computational psychiatry.",,,,,pending
a1d61851931124089_s1,a1d61851931124089,Bellebaum et al. (2012),2012,YES,NO,,,,,,pending
a1d626bb04fc5f0ba_s1,a1d626bb04fc5f0ba,Yoon et al. (2018),2018,YES,NO,,,,,,pending
a1e22fa6e997143f8_s1,a1e22fa6e997143f8,Zhang et al. (2024),2024,YES,NO,,,,,,pending
a204653ce20c31792_s1,a204653ce20c31792,Becker et al. (2017),2017,YES,YES,"The paper uses a computational model (DeGroot) and human behavioral data, and learning occurs over multiple rounds in a social context. However, the model parameters (self-weights) are not formally fitted via optimization — they are analytically derived from the DeGroot framework and empirically estimated from revision patterns. The ""learning"" is over 3 rounds only, which is minimal but qualifies as learning over time. FLAG: Borderline — model is more of a theoretical/analytical framework than a fitted computational model. The self-weight parameters are estimated from behavior but not via standard model fitting (MLE/Bayesian). The paper is better characterized as testing theoretical predictions of the DeGroot model rather than fitting a computational model to data.",,,,,pending
a20e877f71fab27e9_s1,a20e877f71fab27e9,Cisler et al. (2019),2019,YES,YES,"The paper uses computational modeling (Rescorla-Wagner), human behavioral data, and a social learning context (social RL task). However, the primary research question is about trauma/PTSD effects on neural encoding rather than social learning per se. The social RL task is one of multiple tasks. The paper does involve learning over time (90-trial bandit task with switching contingencies). Eligible but borderline — the focus is on trauma effects on salience network function, with social learning being one of several task conditions examined rather than the central computational question.",,,,,pending
a2174e45d82a22e2a_s1,a2174e45d82a22e2a,Watanabe et al. (2013),2013,YES,YES,"Borderline — the ""social"" element is limited to emotional face presentation as a task-independent modulator of non-social reward learning. The learning itself is about cue-reward associations (non-social). Faces are used as emotional stimuli, not as social information sources. This is more accurately emotional modulation of learning than social learning per se. Flag: ""borderline social context — emotional face modulates non-social reward learning; no social learning per se",,,,,pending
a2188d678b95a3af7_s1,a2188d678b95a3af7,Na et al. (2021),2021,YES,NO,,,,,,pending
a21d0e1221204e6a7_s1,a21d0e1221204e6a7,Collins et al. (2016),2016,YES,YES,"The ""social agent"" is an automated computerized confederate agent using predetermined strategies (T4T, PT4T), not a real human partner — FLAG as automated social agent. Additionally, the computational model is an ACT-R cognitive architecture model that was fit to a prior dataset and tested for predictive validity here; it is not a standard computational model fit to individual-level data in this study. The model is not fit to data in this paper — it generates a priori predictions. This is borderline for ""uses computational modeling"" in the standard sense (model comparison is done at the group level via correlation/RMSD, not individual-level parameter estimation).",,,,,pending
a224dcce611192bff_s1,a224dcce611192bff,Li et al. (2023),2023,YES,YES,"Does not meet ""learning over time"" criterion -- one-shot trust game with no feedback and no learning/updating process. No computational modeling. Flag: no temporal learning, no computational model.",,,,,pending
a224dcce611192bff_s2,a224dcce611192bff,Li et al. (2023),2023,YES,NO,,,,,,pending
a224dcce611192bff_s3,a224dcce611192bff,Li et al. (2023),2023,YES,NO,,,,,,pending
a224dcce611192bff_s4,a224dcce611192bff,Li et al. (2023),2023,YES,NO,,,,,,pending
a2288ea970dce3aa7_s1,a2288ea970dce3aa7,Kruppa et al. (2019),2019,YES,NO,,,,,,pending
a22a39917d0dd8ed8_s1,a22a39917d0dd8ed8,Barnby et al. (2024),2024,YES,NO,,,,,,pending
a22a594d9a3396e5c_s1,a22a594d9a3396e5c,Kumar & Steyvers (2023),2023,YES,YES,MEDIUM confidence — borderline learning paper; within-trial Bayesian goal inference could be classified as learning or as one-shot inference across a sequence of observations,,,,,pending
a2313f01554209ba3_s1,a2313f01554209ba3,Deffner et al. (2024),2024,YES,YES,"Potential concern — the paper models latent strategy switching (producer vs. scrounger states) over time, but the ""learning"" is about dynamic calibration of social information use strategies rather than classic trial-by-trial value updating. The model infers latent states and how situational factors influence transitions, rather than tracking evolving value estimates. This is borderline learning-vs-decision-making: participants do adjust strategies over rounds (temporal dynamics show calibration), but the computational model itself is a state-switching model, not a learning model with prediction errors or belief updates. FLAG: borderline learning-vs-decision-making.",,,,,pending
a23346253c62b30ea_s1,a23346253c62b30ea,Realpe-Gomez et al. (2018),2018,YES,YES,"The paper uses computational modeling on human behavioral data in a social context with learning over time (52 rounds of repeated PD). However, the authors did not collect their own data -- they model existing experimental data from Garcia-Lazaro et al. (2012). The primary contribution is theoretical (statistical physics model + mean field analysis + criticality). The ""learning"" is modeled at the aggregate/representative-agent level via a mean field approximation, which is a simplification of individual-level learning. **Flag: The paper is primarily a theoretical/computational physics paper that fits a single model to existing aggregate experimental data. No formal model comparison is conducted (only one model tested). The learning is modeled at the group level via a representative agent, not at the individual level.**",,,,,pending
a243d5dfd1ae939fc_s1,a243d5dfd1ae939fc,Kang et al. (2024),2024,YES,NO,,,,,,pending
a26945158028580df_s1,a26945158028580df,Wittmann et al. (2021),2021,YES,YES,"The RL model serves as a preprocessing tool to derive performance estimates rather than as the primary model being tested. The paper's main contribution is about causal brain manipulation effects on self-other mergence (a neural/behavioral phenomenon), with the computational modeling playing a supporting rather than central role. The learning component (tracking ability estimates over time) meets inclusion criteria, but the primary SOM effects themselves are described as ""decision-related rather than learning-related"" by the authors (line 230). FLAG: Borderline — SOM is explicitly described as decision-related, not learning-related; the learning component (RL model) is a preprocessing step, not the main focus.",,,,,pending
a26bb57d6400eea38_s1,a26bb57d6400eea38,Khalvati et al. (2019),2019,YES,NO,,,,,,pending
a27a2b2cebe0c8587_s1,a27a2b2cebe0c8587,Jangard et al. (2025),2025,YES,NO,,,,,,pending
a27efb8686dd0915f_s1,a27efb8686dd0915f,Lockwood et al. (2019),2019,YES,NO,,,,,,pending
a286a3f21983708d7_s1,a286a3f21983708d7,Burnside et al. (2019),2019,YES,NO,,,,,,pending
a29f8f737795fdfad_s1,a29f8f737795fdfad,Velez & Gweon (2019),2019,YES,YES,"Borderline -- learning over time is limited. The models assume static beliefs about the advisor (no trial-by-trial learning/updating of model parameters). The paper describes participants learning about the advisor early in the task (behavioral data), but the computational models themselves do not capture this learning process -- they fit static parameters across all trials. The ""social agent"" is a simulated automated system. Flag: borderline learning-vs-decision-making; automated social agent.",,,,,pending
a2aa67f2e9f38a8a5_s1,a2aa67f2e9f38a8a5,Ying et al. (2025),2025,YES,YES,"Potential flag — the paper models the *decision* to engage in social learning (observe vs. explore) rather than learning that updates over time in a traditional sense. The ""learning"" is more about information gathering for planning than iterative belief updating from repeated feedback. However, the model does involve Bayesian belief updating over time as observations accumulate (Eq. 3, 7), so it qualifies as learning over time. Flag: borderline learning-vs-decision-making.",,,,,pending
a2b27883579d6f342_s1,a2b27883579d6f342,Barnby et al. (2020),2020,YES,NO,,,,,,pending
a2c08d3018fe4637d_s1,a2c08d3018fe4637d,Realpe-Gomez et al. (2018),2018,YES,YES,"The paper presents a computational model fitted to existing human behavioral data from a social learning context (cooperation dynamics over 52 rounds). However, the model is primarily a *theoretical physics model* validated against existing experimental data rather than a new behavioral experiment. The learning occurs over time (52 rounds) and involves social context (neighbors' behavior). The paper meets inclusion criteria but should be noted as a modeling/theory paper applying to existing data.",,,,,pending
a2c8888de29cb7729_s1,a2c8888de29cb7729,Toyokawa & Gaissmaier (2022),2022,YES,NO,,,,,,pending
a2cdcaf4b59eacb91_s1,a2cdcaf4b59eacb91,Babur et al. (2024),2024,YES,NO,,,,,,pending
a2effa7d6a769e079_s1,a2effa7d6a769e079,Shafto & Goodman (2008),2008,YES,YES,"FLAGGED — Borderline on ""learning over time"" criterion. Each trial involves a single inference from 1-3 examples rather than iterative learning across trials. The model describes rational inference (Bayesian belief updating given examples) rather than trial-by-trial learning with prediction errors or parameter updating over time. This is closer to one-shot inference/concept learning than to learning that unfolds over time. Also: the ""social agent"" (teacher) is either the participant themselves or implicit — there is no real interactive social partner in the learning condition.",,,,,pending
a2f1bdf3bb71d19ad_s1,a2f1bdf3bb71d19ad,Schultner et al. (2025),2025,YES,NO,,,,,,pending
a2fa292c96e609b5d_s1,a2fa292c96e609b5d,Lau et al. (2020),2020,YES,NO,,,,,,pending
a30530da465ff788c_s1,a30530da465ff788c,Zhu et al. (2012),2012,YES,NO,,,,,,pending
a30fdbe97c54f68e0_s1,a30fdbe97c54f68e0,Sul et al. (2015),2015,YES,NO,,,,,,pending
a3131de84618ce7d6_s1,a3131de84618ce7d6,Kang et al. (2021),2021,YES,NO,,,,,,pending
a31d161cea8e5f95a_s1,a31d161cea8e5f95a,Slagter et al. (2023),2023,YES,NO,,,,,,pending
a31e49169e6cf1741_s1,a31e49169e6cf1741,Tomova et al. (2022),2022,YES,YES,"MEDIUM confidence — borderline social context (automated face feedback, non-social learning target)

### CANNOT FIND
- Mean fitted parameter values for $\eta_{pos}$, $\eta_{neg}$, $\beta$ (shown only in figures, not reported numerically)
- Peak MNI coordinates for whole-brain group analysis of MID task (mentioned in text/Fig. 5a but not tabulated)
- Number of parameters for each model (inferred: RP = 3 [$\eta_{rew}$, $\eta_{pun}$, $\beta$]; EWA = 3 [$\phi$, r, $\beta$]; EWArp = 4 [$\eta_{rew}$, $\eta_{pun}$, r, $\beta$]; FU = 3 [$\eta_{pos}$, $\eta_{neg}$, $\beta$]) — MEDIUM confidence

### OTHER NOTES
- This is a preprint on Research Square (posted Dec 2022). The supplement author list includes Lei Zhang and Stefano Palminteri who are not listed in the main preprint author list — the published version may differ.
- Two tasks are used (EBDM and RL) but only the RL task involves computational modeling. The EBDM task is analyzed with mixed-effects models only.
- The fMRI component is a baseline measure (MID task) used as a predictor of isolation effects, not a model-based fMRI analysis of the learning task.
- Study design is within-subjects (3 sessions per participant), which is a strength.",,,,,pending
a321d661f8f8442f8_s1,a321d661f8f8442f8,Hauke et al. (2024),2024,YES,NO,,,,,,pending
a33805f70dcd7a684_s1,a33805f70dcd7a684,Cook et al. (2018),2018,YES,NO,,,,,,pending
a33e6f2cfa2002f06_s1,a33e6f2cfa2002f06,Jangard et al. (2025),2025,YES,NO,,,,,,pending
a345fc694857a72b0_s1,a345fc694857a72b0,Hétu et al. (2017),2017,YES,NO,,,,,,pending
a35d4c61245866a1e_s1,a35d4c61245866a1e,Namba et al. (2024),2024,YES,YES,"Borderline — the ""social"" element is limited to faces as stimuli. The learning is associative value learning about neutral face stimuli via monetary feedback, not truly social learning (no social interaction, no social information source). The faces serve as conditioned stimuli rather than social agents. Flag: ""borderline social context — faces as CS stimuli rather than social agents; no social interaction or social information source.",,,,,pending
a3820794865baaf9c_s1,a3820794865baaf9c,Lockwood et al. (2020),2020,YES,NO,,,,,,pending
a382d4a752f452cfa_s1,a382d4a752f452cfa,Moreira (2022),2022,YES,YES,"Does not meet inclusion criteria. This dissertation examines social decision-making preferences (parent vs. friend) using Bayesian multilevel logistic regression, pattern expression analysis, and NLP methods. There is no computational model of learning (no RL, Bayesian learning, or equivalent). Decisions do not involve learning over time -- each CCT round is independent with no trial-to-trial updating. This is a decision-making study, not a learning study. All three studies fail the ""uses computational modeling"" and ""learning occurs over time"" criteria.",,,,,pending
a391be02b620399e0_s1,a391be02b620399e0,Waite et al. (2024),2024,YES,NO,,,,,,pending
a3ab5b69538196322_s1,a3ab5b69538196322,Na (2021),,NO,NO,,,,,,pending
a3ab5b69538196322_s2,a3ab5b69538196322,Na (2021),,NO,NO,,,,,,pending
a3bad33b1442f406f_s1,a3bad33b1442f406f,Huang et al. (2025),2025,YES,YES,"BORDERLINE -- The study uses computational modeling and human behavioral data, and learning occurs over time. However, the learning itself is non-social (learning picture-button mappings from probabilistic feedback). The social component (being observed) is a contextual moderator, not the content of learning. The ""social context"" modulates learning parameters but participants do not learn from or about social agents. This is social facilitation of non-social learning rather than social learning per se. Flag as borderline for inclusion criterion ""learning occurs in a social context.",,,,,pending
a3bfa9c0b2d56e036_s1,a3bfa9c0b2d56e036,Hammond et al. (2023),2023,YES,YES,"Borderline — the paper uses socio-affective stimuli (faces) as reinforcers in what is otherwise a standard non-social probabilistic learning task. The ""social"" element is the feedback modality, not the learning context or target. The agent does not learn about another person, nor from another person's actions — they learn stimulus-outcome contingencies using social stimuli as feedback. This is socio-affective reinforcement learning rather than social learning per se. Flag as: ""borderline social context — social feedback stimuli but non-social learning target.",,,,,pending
